Sentence,Definition?
Let  G  be a compact topological group and let  int_G  be an invariant vector - valued integral.,0
Let  rho  be a continuous group representation into the vector space  V  .,0
"For a fixed  vin V  , consider the function  f_v:Gto V  such that  gmapsto rho(g)v  .",0
Define a linear transformation  text{Av}_rho:Vto V  by the formula  text{Av}_rho(v) = frac{1}{text{vol}(G)}int_G rho(g)vtext dg  .,1
"Heuristically, we can say that this is the barycenter of the  G  - orbit of  v  .",0
Let  mathcal C  be a small groupoid and let  x  be an object of  mathcal C  .,0
"The star of  x  , denoted  text{St}(x)  , is the set of objects of the category of objects under  x  .",1
"That is, it is the set of morphisms with source  x  .",0
"The group  mathcal C(x,x)  of automorphisms of  x  is written  pi(mathcal C,x)  .",0
A topological space  X  is a  k  - space if every compactly closed subspace of  X  is closed.,1
Any topological space  X  can be made a  k  - space by endowing it with a new topology in which a subspace is closed if and only if it is compactly closed in the original topology.,0
The resulting space is denoted  kX  .,0
The identity function  kXto X  is continuous.,0
"If  X  is weak Hausdorff, then so is  kX  , so  kX  is compactly generated so that  X  and  kX  have exactly the same compact subsets.",0
Let  A  be an algebra over the field  mathbb k  .,0
The elements  {a_i}_{iin I}  generate  A  if every element  alphain A  can be written (not necessarily uniquely) as a polynomial in the  a_i  with coefficients in  mathbb k  .,0
Let  Usubsetmathbb R^n  be an open subset and let  f:Utomathbb R  .,0
"The point  a in U  is a local minimum of  f  if there is a neighborhood  V  of  a  such that for all  x in V  ,  f(a)leq f(x)  .",1
Consider a topological space  X  and consider the chain complex given by the groups of singular n - chains of  X  .,0
The  n  th homology group  text{Ker}(partial_{n})/text{Im}(partial_{n+1})  is denoted  H_n(X)  and is called the  n  th singular homology group of  X  .,1
"A Borel space is a measurable space  (X, B)  given by the Borel σ - algebra on  X  .",1
"Let  v_0,dots,v_n  be an n - simplex.",0
"We get from the order on the vertices a canonical linear homeomorphism from  Delta^n  to any other  n  - simplex that preserves the order of the vertices:  (t_0,dots,t_n)mapsto sum_i t_iv_i  .",0
"The  t_i  are called the barycentric coordinates of the point  sum_i t_iv_i in v_0,dots,v_n  .",1
Let  G  be a group acting on the set  X  .,0
Then  G  also acts on the power set  mathcal P(X)  as follows:,0
"If  Yin mathcal P(X)  , then  Ysubset X  .",0
Define  gcdot Y ={gcdot ymid yin Y}  .,0
The topological space constructed in the proof that every group is a fundamental group is called the homotopy cofiber of the map  p  therein.,1
