Sentence,Definition?
We solve the word problem for free double categories without equations between generators by translating it to the word problem for 2-categories.,0
This yields a quadratic algorithm deciding the equality of diagrams in a free double category.,0
"The translation is of interest in its own right since and can for instance be used to reason about double categories with the language of 2-categories, sidestepping the pinwheel problem.",0
"It also shows that although double categories are formally more general than 2-categories, they are not actually more expressive, explaining the rarity of applications of this notion.",0
This paper introduces infinity - and n -fold vector bundles as special functors from the infinity - and n -cube categories to the category of smooth manifolds.,1
"We study the cores and "" n -pullbacks"" of n -fold vector bundles and we prove that any n -fold vector bundle admits a non-canonical isomorphism to a decomposed n -fold vector bundle.",0
A colimit argument then shows that infinity -fold vector bundles admit as well non-canonical decompositions.,0
"For the convenience of the reader, the case of triple vector bundles is discussed in detail.",0
"We construct three classes of generalised orbifolds of Reshetikhin-Turaev theory for a modular tensor category C , using the language of defect TQFT: (i) spherical fusion categories give orbifolds for the ""trivial"" defect TQFT associated to Vect , (ii) G -crossed extensions of C  give group orbifolds for any finite group G , and (iii) we construct orbifolds from commutative Delta -separable Frobenius algebras in C .",0
We also explain how the Turaev-Viro state sum construction fits into our framework by proving that it is isomorphic to the orbifold of case (i).,0
"Moreover, we treat the cases (ii) and (iii) in the more general setting of ribbon tensor categories.",0
"For case (ii) we show how Morita equivalence leads to isomorphic orbifolds, and we discuss Tambara-Yamagami categories as particular examples.",0
Suppose an extension map U: T_1 -&gt; T_0  in the 2-category Con  of contexts for arithmetic universes satisfies a Chevalley criterion for being an (op)fibration in Con .,0
"If M  is a model of T_0  in an elementary topos S  with nno, then the classifier p: S[T_1/M] -&gt; S  satisfies the representable definition of being an (op)fibration in the 2-category ETop  of elementary toposes (with nno) and geometric morphisms.",0
In this paper we construct a symmetric monoidal closed model category of coherently commutative monoidal categories.,0
"The main aim of this paper is to establish a Quillen equivalence between a model category of coherently commutative monoidal categories and a natural model category of Permutative (or strict symmetric monoidal) categories, Perm , which is not a symmetric monoidal closed model category.",0
The right adjoint of this Quillen equivalence is the classical Segal's Nerve functor.,1
"We define exact sequences in the enchilada category of C* -algebras and correspondences, and prove that the reduced-crossed-product functor is not exact for the enchilada categories.",0
Our motivation was to determine whether we can have a better understanding of the Baum-Connes conjecture by using enchilada categories.,0
Along the way we prove numerous results showing that the enchilada category is rather strange.,0
"We construct combinatorial model category structures on the categories of (marked) categories and (marked) preadditive categories, and we characterize (marked) additive categories as fibrant objects in a Bousfield localization of preadditive categories.",0
These model category structures are used to present the corresponding infinity-categories obtained by inverting equivalences.,0
We apply these results to explicitly calculate limits and colimits in these infinity-categories.,0
The motivating application is a systematic construction of the equivariant coarse algebraic K -homology with coefficients in an additive category from its non-equivariant version.,0
We generalize the notions of shifted double Poisson and shifted double Lie-Rinehart structures to monoids in a symmetric monoidal abelian category.,0
"The main result is that an n -shifted double Lie-Rinehart structure on a pair (A, M)  is equivalent to a non-shifted double Lie-Rinehart structure on the pair (A, M[-n]) .",0
The goal of this article is to emphasize the role of cubical sets in enriched category theory and infinity-category theory.,0
We show in particular that categories enriched in cubical sets provide a convenient way to describe many infinity-categories appearing in the context of homological algebra.,0
Let PreOrd(C)  be the category of internal preorders in an exact category C .,0
"We show that the pair (Eq(C), ParOrd(C))  is a pretorsion theory in PreOrd(C) , where Eq(C)  and ParOrd(C)  are the full subcategories of internal equivalence relations and of internal partial orders in C , respectively.",0
We observe that ParOrd(C)  is a reflective subcategory of PreOrd(C)  such that each component of the unit of the adjunction is a pullback-stable regular epimorphism.,0
"The reflector F: PreOrd(C) to PardOrd(C)  turns out to have stable units in the sense of Cassidy, Hébert and Kelly, thus inducing an admissible categorical Galois structure.",0
"In particular, when C  is the category Set  of sets, we show that this reflection induces a monotone-light factorization system (in the sense of Carboni, Janelidze, Kelly and Paré) in PreOrd(Set) .",0
"A topological interpretation of our results in the category of Alexandroff-discrete spaces is also given, via the well-known isomorphism between this latter category and PreOrd(Set) .",0
In this article the notion of virtual double category (also known as fc-multicategory) is extended as follows.,0
"While cells in a virtual double category classically have a horizontal multi-source and single horizontal target, the notion of augmented virtual double category introduced here extends the latter notion by including cells with empty horizontal target as well.",0
"Any augmented virtual double category comes with a built-in notion of ""locally small object"" and we describe advantages of using augmented virtual double categories as a setting for formal category rather than 2-categories, which are classically equipped with a notion of ""admissible object"" by means of a yoneda structure in the sense of Street and Walters.",0
"An object is locally small precisely if it admits a horizontal unit, and we show that the notions of augmented virtual double category and virtual double category coincide in the presence of all horizontal units.",1
"Without assuming the existence of horizontal units we show that most of the basic theory for virtual double categories, such as that of restriction and composition of horizontal morphisms, extends to augmented virtual double categories.",0
"We introduce and study in augmented virtual double categories the notion of ""pointwise"" composition of horizontal morphisms, which formalises the classical composition of profunctors given by the coend formula.",0
We define the homology of a simplicial set with coefficients in a Segal's Gamma-set ( s -module).,0
"We show the relevance of this new homology with values in s -modules by proving that taking as coefficients the s -modules at the archimedean place over the structure sheaf on Spec(Z) , one obtains on the singular homology with real coefficients of a topological space X , a norm equivalent to the Gromov norm.",0
"Moreover, we prove that the two norms agree when X  is an oriented compact Riemann surface.",0
"We derive three equivalent necessary conditions for a small category to have homological dimension one, generalizing a result of Novikov.",0
"As a consequence, any small cancellative category of homological dimension one is embeddable in a groupoid.",0
In this article we give necessary and sufficient conditions for a binary product to exist in a partial morphism category.,0
We also give necessary and sufficient conditions for the existence of a productive terminal in such categories.,0
Persistence has proved to be a valuable tool to analyze real world data robustly.,0
"Several approaches to persistence have been attempted over time, some topological in flavor, based on the vector space-valued homology functor, others combinatorial, based on arbitrary set-valued functors.",0
"To unify the study of topological and combinatorial persistence in a common categorical framework, we give axioms for a generalized rank function on objects in a target category so that functors to that category induce persistence functions.",0
We port the interleaving and bottleneck distances to this novel framework and generalize classical equalities and inequalities.,0
"Unlike sets and vector spaces, in many categories the rank of an object does not identify it up to isomorphism: to preserve information about the structure of persistence modules, we define colorable ranks, persistence diagrams and prove the equality between multicolored bottleneck distance and interleaving distance in semisimple Abelian categories.",0
"To illustrate our framework in practice, we give examples of multicolored persistent homology on filtered topological spaces with a group action and labeled point cloud data.",0
"We prove that, given any reflective subfibration L  on an infinity -topos E , there exists a reflective subfibration L'  on E  whose local maps are the L -separated maps, that is, the maps whose diagonals are L -local.",0
We use the homotopy invariance of equivariant principal bundles to prove that the equivariant A -category of Clapp and Puppe is invariant under Morita equivalence.,0
"As a corollary, we obtain that both the equivariant Lusternik-Schnirelmann category of a group action and the invariant topological complexity are invariant under Morita equivalence.",0
This allows a definition of topological complexity for orbifolds.,0
The term ``Boolean category'' should be used for describing an object that is to categories what a Boolean algebra is to posets.,0
"More specifically, a Boolean category should provide the abstract algebraic structure underlying the proofs in Boolean Logic, in the same sense as a Cartesian closed category captures the proofs in intuitionistic logic and a * -autonomous category captures the proofs in linear logic.",0
